"","B365H","B365D","B365A"
"232",5,3.6,1.73
"233",3.3,3.25,2.25
"234",3.6,3.3,2.1
"235",1.8,3.5,4.5
"236",2.1,3.25,3.75
"237",3.6,3.3,2.1
"238",1.73,3.6,5
"239",4.2,3.4,1.91
"240",2,3.3,4
"241",6,3.75,1.62
"242",1.8,3.5,4.75
"243",2.88,3.3,2.5
"244",2.38,3.3,3
"245",2,3.4,3.8
"246",2,3.4,3.8
"247",2.2,3.2,3.5
"248",2.1,3.25,3.75
"249",3.6,3.4,2.1
"250",2.2,3.2,3.5
"251",3.6,3.3,2.1
"252",1.62,3.75,6
"253",9.5,4.75,1.36
"254",1.33,5,10
"255",1.44,4.33,7.5
"256",1.57,3.75,6.5
"257",1.44,4.33,8
"258",1.25,5.75,13
"259",2.25,3.3,3.25
"260",1.44,4.2,8
"261",1.25,6,11
"262",1.57,3.75,6.5
"263",2.1,3.3,3.6
"264",2,3.4,4
"265",1.44,4.33,7.5
"266",1.2,6,17
"267",3.25,3.3,2.25
"268",4,3.6,1.91
"269",1.29,5.5,10
"270",7,4.2,1.5
"271",2.75,3.3,2.63
"272",2.4,3.3,3
"273",1.8,3.6,4.5
"274",8,4.2,1.44
"275",8.5,4.5,1.4
"276",2.1,3.3,3.6
"277",2.1,3.3,3.6
"278",2.25,3.3,3.25
"279",1.75,3.6,4.75
"280",1.8,3.5,4.5
"281",1.8,3.6,4.5
"282",2.1,3.3,3.6
"283",2,3.4,3.8
"284",1.83,3.6,4.33
"285",4,3.6,1.91
"286",10,5,1.33
"287",5,3.6,1.73
"288",2.25,3.2,3.4
"289",2.4,3.4,2.9
"290",2.1,3.3,3.6
"291",2.3,3.25,3.2
"292",3,3.3,2.38
"293",2.2,3.3,3.4
"294",2.3,3.25,3.2
"295",3.75,3.5,2
"296",6.5,3.8,1.57
"297",3.6,3.3,2.1
"298",1.73,3.6,5
"299",1.57,3.8,6.5
"300",6.5,4,1.53
"301",1.8,3.6,4.5
"302",2,3.4,3.8
"303",3.5,3.2,2.2
"304",9,4.75,1.36
"305",2.4,3.2,3.1
"306",2.38,3.25,3.1
"307",2.1,3.3,3.6
"308",4.5,3.6,1.8
"309",2.3,3.25,3.2
"310",5.5,3.6,1.67
"311",4.2,3.4,1.91
"312",12,5,1.3
"313",10,5,1.33
"314",3.8,3.4,2
"315",2.3,3.25,3.2
"316",2.2,3.25,3.4
"317",2.25,3.4,3.25
"318",1.29,5.5,11
"319",1.17,7,17
"320",1.29,5.5,11
"321",1.62,4,5.5
"322",1.29,5.25,12
"323",2.63,3.2,2.75
"324",1.91,3.6,4
"325",1.2,6.5,15
"326",1.4,4.5,8.5
"327",1.22,6,15
"328",1.3,5.25,10
"329",1.44,4.33,7.5
"330",1.25,6,11
"331",1.73,3.6,5
"332",2.5,3.25,2.88
"333",1.36,5,8.5
"334",5,3.6,1.73
"335",1.8,3.6,4.5
"336",1.62,3.75,6
"337",4.5,3.6,1.8
"338",3.4,3.3,2.2
"339",2.1,3.3,3.6
"340",3.2,3.3,2.3
"341",2.2,3.25,3.4
"342",3.5,3.4,2.1
"343",1.91,3.4,4.2
"344",1.73,3.6,5
"345",1.83,3.5,4.5
"346",1.83,3.6,4.33
"347",1.8,3.6,4.5
"348",1.8,3.6,4.5
"349",3.2,3.4,2.25
"350",2.88,3.1,2.63
"351",1.83,3.6,4.33
"352",1.91,3.4,4.2
"353",5,3.6,1.73
"354",3.5,3.4,2.1
"355",6.5,4.33,1.5
"356",5.5,3.6,1.67
"357",2.4,3.2,3.1
"358",4.5,3.5,1.83
"359",2.5,3.2,2.9
"360",2.6,3.2,2.8
"361",2.38,3.2,3.1
"362",2.5,3.25,2.88
"363",2.25,3.2,3.4
"364",2.1,3.3,3.6
"365",2.2,3.25,3.4
"366",2.1,3.3,3.6
"367",7.5,4.33,1.44
"368",1.8,3.6,4.5
"369",2.3,3.25,3.25
"370",1.73,3.6,5
"371",1.8,3.6,4.5
"372",2.3,3.2,3.2
"373",3.4,3.25,2.2
"374",2.25,3.3,3.25
"375",3.25,3.4,2.2
"376",2.1,3.4,3.5
"377",1.8,3.6,4.5
"378",2,3.3,4
"379",3.6,3.3,2.1
"380",1.91,3.5,4
"381",5,3.6,1.73
"382",2.9,3.25,2.5
"383",4.5,3.6,1.8
"384",2.5,3.3,2.88
"385",2.3,3.25,3.25
"386",3.8,3.75,1.91
"387",2.5,3.25,2.88
"388",8,5,1.36
"389",2.38,3.3,3
"390",3.25,3.4,2.2
"391",4,3.6,1.91
"392",10,5.5,1.3
"393",8.5,5,1.36
"394",2.3,3.5,3
"395",2.88,3.5,2.38
"396",2.63,3.4,2.63
"397",2.2,3.4,3.25
"398",2.2,3.2,3.5
"399",3.4,3.25,2.2
"400",3,3.3,2.4
"401",2.1,3.3,3.6
"402",1.57,4.2,5.5
"403",2,3.3,4
"404",2.1,3.25,3.75
"405",1.73,3.6,5
"406",6,3.75,1.62
"407",1.83,3.5,4.5
"408",2.75,3.25,2.6
"409",2.25,3.4,3.2
"410",2.2,3.25,3.4
"411",4.5,3.8,1.75
"412",1.83,3.5,4.5
"413",5,3.75,1.7
"414",1.73,3.6,5
"415",1.13,8.5,19
"416",1.2,6.5,15
"417",1.22,5.75,15
"418",1.36,4.75,9
"419",1.29,5.5,11
"420",1.25,5.5,13
"421",1.29,5.5,11
"422",1.62,4,5.5
"423",2.2,3.2,3.6
"424",1.62,3.75,6
"425",1.2,6,17
"426",1.2,6.5,15
"427",1.2,6.5,15
"428",1.44,4.33,7.5
"429",1.25,6,11
"430",2.4,3.25,3
"431",1.57,3.75,6.5
"432",1.62,3.75,6
"433",3.4,3.3,2.2
"434",1.57,3.8,6.5
"435",1.4,4.5,9
"436",2.63,3.25,2.75
"437",1.5,4,7.5
"438",1.44,4.5,7
"439",1.73,3.6,5
"440",1.53,4,6.5
"441",2,3.25,4
"442",1.83,3.6,4.33
"443",1.67,3.75,5.5
"444",2.7,3.2,2.7
"445",3.1,3.25,2.38
"446",2.88,3.25,2.5
"447",1.91,3.4,4.2
"448",2.2,3.25,3.4
"449",3.2,3.1,2.4
"450",2,3.3,4
"451",2.2,3.25,3.4
"452",1.91,3.4,4.2
"453",2.2,3.25,3.4
"454",2.2,3.2,3.5
"455",2.1,3.3,3.6
"456",5,3.6,1.73
"457",1.73,3.6,5
"458",1.53,4.2,6
"459",1.8,3.5,4.75
"460",2.88,3.25,2.5
"461",3.75,3.6,1.95
"462",1.33,5,10
"463",1.67,3.6,5.5
"464",3.8,3.4,2
"465",1.57,3.8,6.5
"466",1.62,3.75,6
"467",1.33,5,10
"468",1.7,3.75,5
"469",2.2,3.2,3.5
"470",1.53,3.8,7
"471",1.62,3.75,6
"472",1.36,4.75,9
"473",2.8,3.2,2.6
"474",2.6,3.2,2.8
"475",1.44,4.33,7.5
"476",1.44,4.33,7.5
"477",1.73,3.8,4.75
"478",1.44,4,8.5
"479",2.5,3.2,2.9
"480",2.63,3.25,2.75
"481",1.4,4.5,8.5
"482",1.53,4,6.5
"483",1.73,3.6,5
"484",1.44,4.2,8
"485",1.29,5.5,10
"486",1.33,5,10
"487",1.4,4.5,8.5
"488",1.5,4,7.5
"489",1.36,4.75,9
"490",1.5,4,7
"491",1.4,4.5,9
"492",1.91,3.4,4.2
"493",1.36,4.75,9
"494",1.25,5.75,12
"495",1.57,4,6
"496",1.22,6,15
"497",1.22,6,15
"498",1.25,5.5,13
"499",2,3.4,3.8
"500",1.29,5.5,11
"501",1.25,5.75,12
"502",1.2,6.5,15
"503",1.33,5,9.5
"504",1.73,3.6,5
"505",1.36,4.75,9
"506",1.44,4.33,7.5
"507",1.44,4.33,7.5
"508",2.38,3.25,3.1
"509",1.6,4,5.5
"510",2.2,3.2,3.5
"511",1.91,3.4,4.2
"512",1.91,3.4,4.2
"513",5,3.6,1.73
"514",3.8,3.4,2
"515",3.25,3.25,2.25
"516",1.83,3.6,4.33
"517",3.5,3.4,2.1
"518",5,4,1.67
"519",2.1,3.25,3.75
"520",2.6,3.2,2.8
"521",1.95,3.4,4
"522",5.5,3.6,1.67
"523",1.91,3.4,4.2
"524",2,3.5,3.75
"525",2.25,3.2,3.4
"526",5.5,3.75,1.67
"527",2.1,3.2,3.75
"528",3.75,3.25,2.1
"529",3.4,3.25,2.2
"530",1.62,4,5.5
"531",1.83,3.4,4.75
"532",2.63,3.2,2.75
"533",2.1,3.25,3.75
"534",2.1,3.2,3.75
"535",1.91,3.4,4.2
"536",2.2,3.25,3.4
"537",5.5,3.6,1.67
"538",1.8,3.4,5
"539",5.5,3.75,1.67
"540",2.75,3.6,2.4
"541",5,3.5,1.75
"542",2.4,3.25,3
"543",2.1,3.2,3.75
"544",2.6,3.2,2.8
"545",1.83,3.5,4.5
"546",2.2,3.2,3.5
"547",1.62,3.75,6
"548",1.83,3.5,4.5
"549",2.2,3.25,3.4
"550",5.5,3.6,1.67
"551",2.75,3.25,2.6
"552",2.63,3.2,2.75
"553",2.2,3.2,3.5
"554",2.1,3.25,3.75
"555",2.6,3.2,2.8
"556",2.5,3.25,2.88
"557",1.91,3.5,4
"558",2.1,3.25,3.75
"559",1.53,4,6.5
"560",1.57,3.8,6.5
"561",2,3.4,3.8
"562",2.8,3.25,2.6
"563",1.53,4,6.5
"564",1.4,4.5,8.5
"565",2.88,3.3,2.5
"566",1.57,4,6
"567",1.57,4,6
"568",1.73,3.6,5
"569",2.88,3.4,2.4
"570",1.57,4,6
"571",1.3,5.5,10
"572",1.53,4,6.5
"573",2.1,3.25,3.75
"574",2.2,3.25,3.4
"575",3.6,3.3,2.1
"576",2.2,3.2,3.5
"577",2.25,3.3,3.25
"578",1.83,3.5,4.5
"579",6,4.2,1.53
"580",1.8,3.6,4.5
"581",1.73,3.6,5
"582",1.91,3.6,4
"583",1.85,3.4,4.5
"584",5,3.6,1.73
"585",3,3.3,2.38
"586",5.5,3.6,1.7
"587",2.38,3.3,3
"588",2.63,3.25,2.75
"589",2.25,3.25,3.3
"590",2.38,3.25,3.1
"591",2.3,3.25,3.2
"592",1.91,3.6,4
"593",2,3.5,3.75
"594",4.5,3.6,1.8
"595",3.4,3.2,2.25
"596",2,3.4,3.8
"597",6,4,1.57
"598",2,3.5,3.75
"599",3.4,3.3,2.2
"600",2.25,3.3,3.25
"601",4.5,3.6,1.8
"602",2.25,3.3,3.25
"603",1.95,3.6,3.8
"604",2,3.5,3.75
"605",2.25,3.25,3.3
"606",2.38,3.25,3.1
"607",4.75,3.6,1.75
"608",2.5,3.25,2.88
"609",2.75,3.2,2.63
"610",6.5,4.2,1.5
"611",2.5,3.2,2.9
"612",2.5,3.25,2.88
"613",3.2,3.25,2.3
"614",2.5,3.25,2.9
"615",6.5,4,1.53
"616",2.1,3.3,3.6
"617",3,3.25,2.4
"618",2.8,3.25,2.6
"619",2.1,3.4,3.5
"620",2.25,3.2,3.4
"621",5.5,3.4,1.73
"622",5.5,3.6,1.67
"623",2.4,3.1,3.2
"624",2.6,3.2,2.8
"625",2.4,3.25,3
"626",2.1,3.3,3.6
"627",8,4.2,1.44
"628",3.4,3.2,2.25
"629",8.5,4.5,1.4
"630",1.83,3.6,4.33
"631",3,3.3,2.38
"632",2.6,3.25,2.8
"633",2.5,3.25,2.88
"634",2.1,3.4,3.5
"635",2.2,3,3.75
"636",1.44,4.33,7.5
"637",1.53,4,6.5
"638",1.4,4.5,8.5
"639",1.44,4.2,8
"640",1.53,4,6.5
"641",1.22,6,15
"642",1.25,5.5,13
"643",2.8,3.4,2.5
"644",1.29,5.5,11
"645",2.5,3.4,2.75
"646",1.44,4.33,7.5
"647",1.33,5,10
"648",2.4,3.4,2.88
"649",1.25,6,12
"650",2,3.6,3.6
"651",1.22,6.5,12
"652",1.62,3.75,6
"653",2,3.3,4
"654",1.83,3.5,4.5
"655",5,3.6,1.73
"656",4.2,3.4,1.91
"657",5,3.6,1.73
"658",1.83,3.4,4.75
"659",2.4,3.25,3
"660",1.8,3.5,4.75
"661",5.5,3.6,1.67
"662",2.5,3.25,2.88
"663",4.5,3.5,1.83
"664",2.2,3.3,3.4
"665",2.3,3.3,3.2
"666",1.91,3.5,4
"667",4.2,3.75,1.83
"668",6.5,3.75,1.57
"669",4,3.5,1.91
"670",7.5,4.33,1.44
"671",2.1,3.4,3.5
"672",2.38,3.3,3
"673",2.1,3.4,3.5
